Designator,Footprint,Quantity,Value,LCSC Part #
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
D1,LED_0805_2012Metric,1,LED,C84256
C5,C_0805_2012Metric,1,10uF,C17024
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
J4,PinSocket_1x03_P2.54mm_Vertical,1,Power Connectors,
J3,PinSocket_1x06_P2.54mm_Vertical,1,Programming Connectors,
C2,C_0805_2012Metric,1,10uF,C17024
DS1,WC1602A,1,WC1602A,
SW3,SW_Cherry_MX_Plate_1.00u,1,CONTROL,
SW15,SW_Cherry_MX_Plate_1.00u,1,6,
SW9,SW_Cherry_MX_Plate_1.00u,1,8,
SW5,SW_Cherry_MX_Plate_1.00u,1,4,
U1,DIP-28_W7.62mm,1,ATmega328-P,
JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
RV1,Potentiometer_Piher_PT-6-V_Vertical_Hole,1,10k,
R3,R_0805_2012Metric,1,10k,C17414
SW10,SW_Cherry_MX_Plate_1.00u,1,5,
SW7,SW_Cherry_MX_Plate_1.00u,1,ENTER,
C3,C_0805_2012Metric,1,10uF,C17024
JP2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,9-12v,
SW12,SW_Cherry_MX_Plate_1.00u,1,0,
SW19,SW_Cherry_MX_Plate_1.00u,1,MULT,
SW13,SW_Cherry_MX_Plate_1.00u,1,DEL,
JP4,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,RESET,
C4,C_0805_2012Metric,1,0.1uF,C49678
SW21,SW_Cherry_MX_Plate_1.00u,1,SUB,
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
SW20,SW_Cherry_MX_Plate_1.00u,1,DIV,
SW8,SW_Cherry_MX_Plate_1.00u,1,ALT,
C7,C_0805_2012Metric,1,100n,C49678
C6,C_0805_2012Metric,1,22pf,C1804
SW11,SW_Cherry_MX_Plate_1.00u,1,2,
J5,PinSocket_1x04_P2.54mm_Vertical,1,SPI Connectors,
SW16,SW_Cherry_MX_Plate_1.00u,1,3,
C1,C_0805_2012Metric,1,22pf,C1804
SW18,SW_Cherry_MX_Plate_1.00u,1,CLR,
SW4,SW_Cherry_MX_Plate_1.00u,1,7,
SW6,SW_Cherry_MX_Plate_1.00u,1,1,
SW1,SW_Push_2P2T_Toggle_CK_PVA2OAH5xxxxxxV2,1,SW_SPST,
SW22,SW_Cherry_MX_Plate_1.00u,1,ADD,
R1,R_0805_2012Metric,1,50,
SW17,SW_Cherry_MX_Plate_1.00u,1,DOT,
U2,TO-92_Inline,1,L78L05_TO92,
SW14,SW_Cherry_MX_Plate_1.00u,1,9,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,5v,
R2,R_0805_2012Metric,1,220,C17520
