Designator,Footprint,Quantity,Value,LCSC Part #
D4,D_SOD-323,1,D,C191023
D2,LED_0805_2012Metric,1,LED,C84256
J1,PinSocket_1x03_P2.54mm_Vertical,1,Power Connectors,
C6,C_0402_1005Metric,1,1uF,C52923
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F030C8Tx,C23922
C2,C_0402_1005Metric,1,100nF,C1525
R1,R_0402_1005Metric,1,50,C25125
C10,C_0402_1005Metric,1,4.7uF,C23733
Q1,SOT-23,1,MMBT3904,C20526
C7,C_0402_1005Metric,1,12pF,C1547
C9,C_0402_1005Metric,1,0.1uF,C1525
C8,C_0402_1005Metric,1,12pF,C1547
JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
J2,PinSocket_2x05_P2.54mm_Vertical,1,Programming Connectors,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
R4,R_0402_1005Metric,1,1k,C11702
C3,C_0402_1005Metric,1,4.7uF,C23733
C1,C_0402_1005Metric,1,100nF,C1525
D3,LED_0805_2012Metric,1,LED,C84256
R2,R_0402_1005Metric,1,50,C25125
J3,PinSocket_2x04_P2.54mm_Vertical,1,RF Connector,
C4,C_0402_1005Metric,1,10nF,C15195
SW1,SW_Push_1P1T_NO_CK_KSC6xxJ,1,POWER,C318884
J4,PinSocket_1x03_P2.54mm_Vertical,1,Relay Outputs,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,RESET,
C5,C_0402_1005Metric,1,4.7uF,C23733
R3,R_0402_1005Metric,1,50,C25125
D1,LED_0805_2012Metric,1,LED,C84256
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
C11,C_0603_1608Metric,1,10uF,C19702
Y1,Crystal_SMD_HC49-SD,1,8MHz,C12674
