Designator,Mid X,Mid Y,Rotation,Layer
D4,110.0455,-85.344,0.0,top
D2,76.0095,-66.802,0.0,top
J1,71.4125,-88.123,180.0,top
C6,80.8355,-78.26,90.0,top
U1,86.6775,-76.835,0.0,top
C2,80.0735,-72.418,90.0,top
R1,79.1845,-67.818,0.0,top
C10,95.4405,-73.66,180.0,top
Q1,106.2355,-87.5515,90.0,top
C7,72.7075,-72.39,180.0,top
C9,80.3555,-81.28,0.0,top
C8,72.7075,-80.01,180.0,top
J2,98.1075,-88.158,-90.0,top
K1,110.0455,-82.414,90.0,top
R4,103.1875,-85.344,180.0,top
C3,91.1225,-81.407,180.0,top
C1,81.0895,-72.39,90.0,top
D3,76.0095,-64.897,0.0,top
R2,79.1845,-66.802,0.0,top
J3,83.8835,-88.138,-90.0,top
C4,79.8195,-78.26,90.0,top
SW1,97.0915,-68.453,90.0,top
J4,116.5075,-88.29,-90.0,top
C5,95.4405,-75.184,180.0,top
R3,79.1845,-65.786,0.0,top
D1,76.0095,-68.707,0.0,top
U2,86.4235,-67.564,0.0,top
C11,80.5815,-82.55,0.0,top
Y1,76.3905,-76.962,90.0,top
